IoT ID,Mensaje_id,Texto,Usuario id
1,1,Extrañaba dormir mas en la cama de la ita que a la ita ahre,4
2,1,Después de tanto  solo quiero esto,3
4,1,$CHFPLN #CHFPLN - 1H: Dado que todos los elementos son claramente bajistas sería posible para los traders operar s… https://t.co/Ig997R5crN,4
5,1,"Este país es una ""frikada"" de cojones..",6
5,2,Intenta explicar a un extranjero lo de ayer en el Valle lo de los indepes… https://t.co/iT5ixEz6cG,5
5,3,No tolero esa voz dramática forzada xfavor,2
1,2,Reclamar Participaciones preferentes en Sevilla,4
3,1,El banco debe devolver 147.000 euros invertidos en preferentes y su… https://t.co/j0gn11Iwvj,2
2,2,Rehusar las alabanzas es desear ser alabado dos veces.,5
4,2,Nuestra máquina de hoy... es muy amigable comparte un montón de servicios... y algunos de ellos no están muy bien… https://t.co/otOvOAClFb,1
5,4,Las tres versiones de López  https://t.co/enEIPnEGkm,4
4,3,📷 Escrito#rabaerre https://t.co/mPCzJFgCoW,3
4,4,Seis municipios participarán en el “Festival Poblano para Vivos y Muertos” https://t.co/pegJ1i9DEO https://t.co/jxH3pryhgK,4
4,5,Buenos Días.  #FelizViernes  #Rancagua amanece con 10º despejado.,6
4,6,LOS MADRUGADORES “Mas de 43años… https://t.co/04VQrPQ8cx,5
3,2,Bueno pues tras tener que ir otra vez 2 veces a Fnac el granaino tiene el final de la historia (a ver qué tal)… https://t.co/KOurykfxVd,2
3,3,Solo a mi se me ocurre preparar mi oral de literatura 3 horas antes de darlo 🤦‍♀️,4
2,3,Sorprende a vecinos vínculo de fincas con Caro Quintero https://t.co/AjdS82FDHw,2
1,3,Biar viral,5
2,4,Las bombillas inteligentes son una maravilla. Si todavía no las has probado con esta oferta te costará menos de 10… https://t.co/liFbMVzntU,1
3,4,Gracias perritos y gatitos ppr alegrarme los días,4
2,5,Que vengan mil que te sigo eligiendo a ti.,3
3,5,"➡️MINIMIZA: Evita los ""Privacy dark patterns"" en el software.",4
2,6,Recopila los datos mínimos y necesarios de la person… https://t.co/uaqumJDZN2,6
3,6,¿Tienes rincones de la casa como el garaje o la zona de lavandería con poca luz? Prueba con la amplia gama de… https://t.co/hdRKaLoAlg,5
1,4,Buen dia hay q trabajar  Un ultimo esfuerzo,2
2,7,El Señor me ha presentado la obra que debe ser hecha en las ciudades. Los creyentes que se encuentran en ellas debe… https://t.co/2SEYUsO04o,4
1,5,«Siempre hay que individualizar el tratamiento con probióticos» https://t.co/dqj82mwyrV,2
2,8,Llevo años sin sacarme el disfraz 🤦🏻‍♀️,5
2,9,LA LOCA DE MI PUEBLO TAMBIEN LO LLEVA HE CHILLADO,1
2,10,Cobee galardonada con el premio global del BBVA Open Talent 2019 https://t.co/b0fKrmmLqn https://t.co/I02dUy1L0o,4
4,7,🇪🇸NACIONAL | Un diputado de Ciudadanos vendía plazas en su coche a través de BlablaCar en sus desplazamientos seman… https://t.co/ZQinoS3I6r,3
5,5,Ya están aquíííí!,4
3,7,(... no se como se llama si alguien lo sabe que lo diga yo de momento le voy a llamar Honorio) https://t.co/TmNaNCxeqX,6
4,8,El éxito de las viviendas ecológicas https://t.co/7hyK8zwmNF,5
3,8,Lo de la orgía protesta chilena es en serio?,2
4,9,A esa gente la volvió loca el ocio... 🙄🙄🙄🙄,4
4,10,si soy,2
5,6,Mentiras del Viernes 25 ! https://t.co/VzfXjU6B8I,5
4,11,Resultados finales: El pueblo ha hablado. https://t.co/ZjFAzqIWVF,1
5,7,Las escalas nos ayudan a objetivar algo que es subjetivo #SEAIC2019,4
2,11,Me recomiendan un app para conocer gente en actividades y el 60% son grupos de yoga...😶,3
3,9,"""Mi familia tiene nueve fusilados en Paracuellos pero eso no es Memoria Histórica"" señala Bertín Osborne al respe… https://t.co/AMuFEFOvo3",4
1,6,Ya me voy yo. https://t.co/ycCcmcjVyr,6
5,8,¿Sabías que hemos creado un menú para toda la familia?,5
4,12,Ven a por ello todos los viernes en El Pollo Dorado Cercedil… https://t.co/yuae3cn1jj,2
2,12,Boskalis se adjudica proyecto de dragado en la República de Maldivas https://t.co/MsIJtp2yXq,4
3,10,La prox que coja la carretilla con los huevos mientras hace piruetas,2
2,13,Volvemos una semana más con bastantes noticias muchas películas que hemos visto y la gran serie de la semana y qui… https://t.co/EGNIlepwkI,5
3,11,Me estaría costando reaccionar,1
4,13,Os he dicho alguna vez que tengo un problema grande con comprarme libros? Que puede ser el mejor problema del mundo… https://t.co/JvZ9c11OZo,4
5,9,coñ.......eso delincuentes de Palacio estan burlao,3
4,14,Necesito algo de beber 😭😩,4
3,12,Somos un servicio de préstamo serio y ofrecemos préstamos a todas las personas responsables y podemos reembolsarnos… https://t.co/WTsd0tKGg3,6
2,14,El Estadi Olímpic acoge un «Meeting Internacional  de Atletismo Adaptado» este fin de semana https://t.co/RQ4Te9pxVP,5
3,13,vaya discazo ha sacado beret,2
4,15,lo único que les va a salvar el vida como siempre https://t.co/KeRRJ9F832,4
3,14,Bravo . No vivirán felices donde  quiera que estén se los haremos sentir .,2
2,15,Yo: Tengo que estrenar los nuevos mandos de la PS4 y muchísimo acumulado a lo que jugar: el Assassin's Creed Revela… https://t.co/qK7br4dZc0,5
3,15,jaja ok,1
4,16,Creo que se me está yendo la olla🙂,4
5,10,Es válido faltar otra vez?,3
5,11,Pinadali himo sa portfolio 🤣,4
4,17,Buen día!!!! ...Hasta la vuelta.... en Holiday Inn Rosario https://t.co/SBV8MsZ02G,6
1,7,Uno más por si acaso #LuigiNintenderosIG,5
1,8,936 julio 9 https://t.co/JLQC62aKwD,2
2,16,Un Gobierno contigo porque solo con el empuje de todos y todas es como se han logrado las conquistas de derechos… https://t.co/ehMDZQYmjv,4
5,12,me acabo de cruzar a maka vosotros q tal porque estoy: llorando,2
1,9,Tengo q subir un cerro con la facu y no puedo evitar pensar en la playlist marihuanos q suben cerros jajajajaj,5
4,18,ahora no me atrevo es q ya no somos niños,1
3,16,buen viernes para everybody. hoy se termina temprano,4
4,19,Mi obra de bien de la mañana: seguir alguna foca que llora seguidores.,3
5,13,Tenemos que valorar lo que tenemos sino eso que tenemos desaparecerá,4
3,17,Por su parte “Cohete” Suarez ocupa la décimo primera posición a 199 segundos del catalán y su hermano Jan es décim… https://t.co/7oz7Sudvwt,6
2,17,Mi sueño sigue siendo comerme una pieza de queso a mordiscos pero cuando lo pienso me detiene la sensación de tener… https://t.co/i6emiWeKpK,5
3,18,#Nowplaying Medellín by Madonna Ft. Maluma en #LaMega105,2
4,20,No sé quants seguidors tinc...ni ho sé ni m'importa...,4
5,14,Bon dia,2
3,19,Perder al lol es de guapas y mi belleza eclipsa.,5
2,18,q cringe amigo jajajjajajajaj,1
3,20,que paja,4
4,21,#Geminis: pueden hablar de cualquier tema siempre y cuando le interese  #siguestesigo,3
4,22,Canción infantil - La canción del Movimiento - Chalupas https://t.co/SQjycHTlSA,4
3,21,Me estoy riendo muchísimo porque me han invitado a una fiesta con un ex,6
2,19,lio y el anfitrión: Yo no se cómo estáis ni… https://t.co/Ex3nMkqY9o,5
1,10,6:30 am.,2
5,15,Arranco mi día en un infierno literal.,4
3,22,No se que hacer no sé cómo salir.,2
4,23,Lloro para que no duela tanto.… https://t.co/vyIbqJVl6j,5
1,11,Hoy estamos de estreno...MICROSTABLE 2019-PAMPLONA,1
4,24,Entradas en CIVIVOX CONDESTABLE y en,4
5,16,https://t.co/PTA7Fe47vk… https://t.co/JAAVtdKZxK,3
5,17,Todo se resume con una palabra: VERGÜENZA,4
3,23,ya quiero que sea semana tec para dormir hasta la 1 e ir a clase a las 2,6
2,20,Hoy me siento como un estorbo en la existencia jaja https://t.co/MtFDEsiGEb,5